Sl.No.,District _Name,Taluk_Name,Village_Name,Name_of_Monuments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
520,Haveri,Hirekerur,Hirekerur,"Temples of Durga, Totada Veerabhadra, Varah, Kaleshwara, Vishaparihareshwara; 11 Inscriptions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
521,Haveri,Hirekerur,Hosahalli,Mallappa Temple with 2 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
522,Haveri,Hirekerur,Ingalgondi,Kalleshwara Temple with Inscriptions; Sati Stone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
523,Haveri,Hirekerur,Kachvi,Temples of Bimeshwara and Ganappa with Viragal and Inscription respectivesly.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
524,Haveri,Hirekerur,Kadur,Temple Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
525,Haveri,Hirekerur,Kanvisidgeri,Kanvi Siddeshwara Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
526,Haveri,Hirekerur,Kirigeri,Hanuman Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
527,Haveri,Hirekerur,Kod,Hanuman Temple with old Kannada Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
528,Haveri,Hirekerur,Kodhigi,Temples of Bayala Basappa and Siddarameshwara with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,Haveri,Hirekerur,Madag (Masur),Large artificial Tank.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,Haveri,Hirekerur,Masanigi,Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,Haveri,Hirekerur,Masur,Visvanath Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,Haveri,Hirekerur,Masur,Ramdev Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,Haveri,Hirekerur,Medur,Temples of Billeshwara and Basappa with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,Haveri,Hirekerur,Muttur,Hero-stone and Inscriptions respectively. Shiva Temple with Virgal and Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,Haveri,Hirekerur,Nagvand,Inscription dated 1120.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,Haveri,Hirekerur,Nidnegil,"Kalleshwara Temple, 15 carved stones.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,Haveri,Hirekerur,Santenahalli,"Temples of Ramlingadeva, Basavadeva, Santideva.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,Haveri,Hirekerur,Sittikend,Inscribed stone; Sati stone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,Haveri,Hirekerur,Varahi,Kalleshwara Temple with Virgal and Inscriptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,Haveri,Hirekerur,Vaudenpur,Inscribed stones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,Haveri,Ranibennur,Alrani,Fort.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,Haveri,Ranibennur,Aniveri,Kallappa Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Haveri,Ranibennur,Asundi,Temples of Kalleshwara with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,Haveri,Ranibennur,Benkankond,Kalmeshwara Temple with 4 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,Haveri,Ranibennur,Bidarkatti,Sangameshwara Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,Haveri,Ranibennur,Gudguddapur,Temple of  Mailara;  Shrines to goddess Mallasanna and Mallaridevi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,Haveri,Ranibennur,Harihar,Harihar Temple with numerous Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,Haveri,Ranibennur,Harogopp,Hanuman Temple with worn Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,Haveri,Ranibennur,Hirebidri,Old Temple with 3 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,Haveri,Ranibennur,Holianveri,Kalappa Temple with Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,Haveri,Ranibennur,Honnatti,Temples with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,Haveri,Ranibennur,Hulihalli,Two Temples of Rameshwara with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,Haveri,Ranibennur,Kolar,Basavanna Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,Haveri,Ranibennur,Ranibennur,"Siddheshwara Temple, Tomb of  Muslim Saint",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,Haveri,Ranibennur,Ukkund,Kalleshwara Temple with old Kannada Inscription slab.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,Haveri,Savanuru,Gundur,Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,Haveri,Savanuru,Huslikop,"Ishwara Temple with Inscription, 3 Inscriptions in village.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,Haveri,Savanuru,Huvinashigli,Hanuman Temple with 2 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,Haveri,Savanuru,Manthrodi,Three Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,Haveri,Shiggaon,Artal,Several Temples and Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,Haveri,Shiggaon,Bannikop,Temple of Dharmaraya with Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,Haveri,Shiggaon,Ganjigatti,Large carved ceiling panel showing the 8 Regents of the points of compass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,Haveri,Shiggaon,Hungund,Broken Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,Haveri,Shiggaon,Kalyan,Tomb of Muslim saint with Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,Haveri,Shiggaon,Manakatti,Solabeshwara Temple with Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,Haveri,Shiggaon,Munavalli,Three Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,Haveri,Shiggaon,Nidagundi,Narayanadeva Temple; 5 Inscribed stones.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,Haveri,Shiggaon,Sabalur,Ishwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,Haveri,Shiggaon,Shiggaon,Temples of Kalmeshwara and Basappa 10 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,Haveri,Shiggaon,Tadas,Four Inscription slabs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,Haveri,Shiggaon,Hulgur,Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,Haveri,Shiggaon,Vanahalli,Ishwara Temple with Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,Haveri,Shiggaon,Yadalabad,Ramalinga Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,Bagalkote,Badami,Anwal ,"Temples of Anantha, Maruti, Ramalinga.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,Bagalkote,Badami,          Gudur,Old Temple of Kameshwara.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,Bagalkote,Badami,Kelwadi,Temple of Ranganatha with Kannada Inscriptions. Temple of Maruti.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,Bagalkote,Badami,Kerur,Fort; Temples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,Bagalkote,Badami,Mushtageri,"Temples of Hanumantha, Honnavva, Devakod Hanumappa; 2 Srines of Basava",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,Bagalkote,Badami,Nagaral Samat,Chikkamahakuteshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,Bagalkote,Badami,Gaddankeri,Tomb of Prophets Malyappa and Monappa.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,Bagalkote,Badami,Mankni,Ishwara Temple with stone tablet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,Bagalkote,Bagalkote,Siruru,"Temples of Ramalinga, Lakshmi, Lakshminarayana.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,Bagalkote,Bagalkote,Tulsigeri,Maruthi Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,Bagalkote,Bagalkote,Bilagi,"Arettina Bavi with Inscriptions, Rajana Bavi  in Town with Inscriptions, pond and  Siddheswara  Temple",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,Bagalkote,Bagalkote,Galgali,Large Temple on the bed of Krishna and Yellamma temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,Bagalkote,Bagalkote,Kundaragi,Temple of Hanumantha and Shiva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,Bagalkote,Hunagund,Aihole,Shiva Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,Bagalkote,Hunagund,Gaddankeri,"Temples of Dhaneshwara, Maruti.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,Bagalkote,Hunagund,Hunagunda,Antiquites of Jain Temple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,Bagalkote,Hunagund,Karadi,"Three Temples, probably Jain, Three Old ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Hunagund,Hunagund,Nagaral,Inscription 4’ long.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,Bagalkote,Hunagund,Rakkasagi,Kalappa Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,Bagalkote,Hunagund,Sangam,Sangameshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,Jamakandi,Jamakandi,Ramthritha,Ramathirtha Palace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,Mudola ,Mudola ,Bevoor,Eswhara Temple ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,Dharwad,Dharwad,Aminbhavi,Jain Temple of Neminath.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,Dharwad,Dharwad,Aminbhavi,Shaiva Temple of Sri Kalmeshwara.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,Dharwad,Dharwad,Aminbhavi,Mallikarjuna Temple and Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,Dharwad,Dharwad,Bhavihal,Siddeshwara Temple with pillars and Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Dharwad,Dharwad,Boukyapur,Veerabhadradeva Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,Dharwad,Dharwad,Devara Hubli,Ranganatha Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Dharwad,Dharwad,Dharwad,Europian Cemetery.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Dharwad,Dharwad,Kurdapur,"Lingayat Temples of Veerabhadra,Someshwara, Siddhalinga.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Dharwad,Dharwad,Madanabhavi,Temples of Kallappadeva & Ramalingadeva ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Dharwad,Dharwad,Managundi,Temples of Siddhalinga & Kalmeshwara With Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,Dharwad,Hubli,Byrahatti,Veerabhadra Temple with Inscription.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,Dharwad,Hubli,Chabbi,Mallikarjuna and Netagalla Basavanna Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,Dharwad,Hubli,Hubli,Shambulinga Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,Dharwad,Hubli,Hubli,"Old town-3 Brahmanical and 2 Lingayat Temples, Mosques; New Hubli-15 Brahmanical, 5 Lingayat, 1 Jain Temples;Monastories, old and new fort.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,Dharwad,Hubli,Sulla,Kalmeshwara Temple with 4 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,Dharwad,Hubli,Unkal,"Veerabhadra Temple, 3 Inscriptions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,Dharwad,Hubli,Yerguppi,Narayan Temple with stone Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,Dharwad,Kalaghatagi,Belavantra,Two Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,Dharwad,Kalaghatagi,Chalmatti,Temple of Budangudden called Ajavankatti.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,Dharwad,Kalaghatagi,Kamdhenu,Kalmeshwara  Temple;2 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,Dharwad,Kalaghatagi,Misrikoti,Rameshwara Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,Dharwad,Kalaghatagi,Tambur,Carved and Inscribed slabs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,Dharwad,Kundagol,Chikkanarti,Kalmeshwara Temple with stone Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,Dharwad,Kundagol,Kalas,Naryanadev Temple with 5 Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,Dharwad,Kundagol,Kundagol,Shambulinga Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,Dharwad,     Navalgund,Belvatagi,Ruined Temple of Ramlinga with three Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,Dharwad,     Navalgund,Navalli,Kalmeshwaradeva Temple with Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,Dharwad,     Navalgund,Naragunda ,Baba Sahebara Palace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,Vijayapura,    Bagewadi,Bagewadi,"Temples of Basaveshwaram, Rameshwara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,Vijayapura,    Bagewadi,Chimmalgi,Basavanna Well.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,Vijayapura,    Bagewadi,Hebbal,"Temples of Shiv, Ishwara.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,Vijayapura,    Bagewadi,Ingaleshwar,Ishwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,Vijayapura,    Bagewadi,Ittagi,"Temples of Narayandeva, Siddeshwara And Ananthashayan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Vijayapura,    Bagewadi,Kadakola,"Temples of Ramdeva, Rameshwara.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,Vijayapura,    Bagewadi,Managoli,"Sangameshwara Temple; sculptures of Elephants, lovers of Buddha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,Vijayapura,    Bagewadi,Muttagi,Ramalinga Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,Vijayapura,    Bagewadi,Ainapur,"Temples of Hanuman, Ramalinga,Mukteshwara, Lakshmi Narasimha, Lakshminarayana, Kashi Vishweshwara.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,Vijayapura,    Bagewadi,Ainapur,"Temples of Lingadakatti, Papannashankatti And Ramatirtha.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,Vijayapura,Vijayapura,Bableshwara,Mallikarjuna Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,Vijayapura,Vijayapura,Bellubbi,Siddheshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Vijayapura,Vijayapura,Kakhandki,Maleswamy Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,Vijayapura,Vijayapura,Mundapur,"Temples of Mahipatidasa, Mallikarjuna,Sangameshwara, Karaveerabhadra.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,Vijayapura,Vijayapura,Torvi,"Temples of Bail Hanumantha,Mahalakshmi, Mahalingeshwara,Madivaleshwara, Tomb of Saint Kamal Saheb; Inscription of dams.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,Vijayapura,Vijayapura,Agarkhed,Chabuk Savarana Darga ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,Vijayapura,Indi,Dhulkhed,"Shankarlingeshwara Temple, Hemapanthi Temple and Inscription.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,Vijayapura,Indi,Halsangi,Temple of Shankarlingadeva.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,Vijayapura,Indi,Horti,"Temples of Narsoba, Amriteshwara.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,Vijayapura,Indi,Masali B.K.,"Temples of  Siddheshwara, Mallikarjuna,Ishwara.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Vijayapura,Indi,Miragi,Durga Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,Vijayapura,Indi,Nandaragi,Sangameshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,Vijayapura,Indi,Nimbargi,Eshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,Vijayapura,Indi,Salotgi,Maruti Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Vijayapura,Indi,Tambe,Shivayogeshwara Temple.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,Vijayapura,Indi,Basarkod,Inscriptions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
